,    Year |  ,    Expend |  ,    Income |  ,    Balance |  ,    number of Season |  ,    sum of Arrivlas |  ,    sum of Depatrues |  ,    avg Expend of Arrivlas |  ,    avg Income of Depatrues |  ,    avg Balance of Depatrues |  ,    avg Expend/Season |  ,    avg Income/Season |  ,    avg Balance/Season |  
0,2018,7185574088.13,6557339715.79,-633556154.66,26,10996,10950,653471.63,598843.81,-57859.01,276368234.16,252205373.68,-24367544.41
1,2016,6197456734.96,5680328229.03,-516816330.76,26,10635,10465,582741.58,542792.95,-49385.22,238363720.58,218474162.66,-19877551.18
2,2012,3466056790.82,2969774012.0,-496250572.88,26,10195,10324,339976.14,287657.3,-48067.66,133309876.57,114222077.38,-19086560.5
3,2015,5350390800.0,4891835351.36,-461737181.08,26,10725,10847,498870.94,450985.1,-42568.19,205784261.54,188147513.51,-17759122.35
4,2001,2986944128.78,2526976622.28,-459994630.82,25,5120,5281,583387.53,478503.43,-87103.7,119477765.15,101079064.89,-18399785.23
5,2017,7328440550.17,6886165276.94,-452876705.19,26,11513,11373,636536.14,605483.63,-39820.34,281863098.08,264852510.65,-17418334.82
6,2000,2691323172.76,2255974672.24,-435345718.51,25,5434,5356,495274.78,421205.13,-81281.87,107652926.91,90238986.89,-17413828.74
7,2013,4122519239.6,3734443911.74,-388087930.73,26,10663,10740,386619.08,347713.59,-36134.82,158558432.29,143632458.14,-14926458.87
8,2014,4084623534.76,3704772020.77,-379190214.44,26,10657,10673,383280.8,347116.28,-35527.99,157100905.18,142491231.57,-14584239.02
9,2011,3433577700.16,3062645453.96,-370943277.29,26,10372,10255,331042.97,298649.0,-36171.94,132060680.78,117794055.92,-14267049.13
10,2007,4068678176.24,3703869615.39,-364772778.93,26,9485,9957,428959.22,371986.5,-36634.81,156487622.16,142456523.67,-14029722.27
11,2010,3217113792.44,2890242474.05,-326871318.38,26,11011,11078,292172.72,260899.3,-29506.35,123735145.86,111163172.08,-12571973.78
12,2003,1584454728.36,1266525093.97,-317884191.75,25,6472,6980,244816.86,181450.59,-45542.15,63378189.13,50661003.76,-12715367.67
13,2004,2050752073.02,1736867033.65,-313901583.73,25,7015,7468,292338.14,232574.59,-42032.88,82030082.92,69474681.35,-12556063.35
14,2002,1594320220.79,1297477581.46,-296822714.06,25,5534,5790,288095.45,224089.39,-51264.72,63772808.83,51899103.26,-11872908.56
15,2008,3665103562.66,3394942596.93,-270137829.55,25,9604,9887,381622.61,343374.39,-27322.53,146604142.51,135797703.88,-10805513.18
16,2006,2634419839.83,2381745451.37,-252650074.14,26,7889,8253,333935.84,288591.48,-30613.12,101323839.99,91605594.28,-9717310.54
17,2009,3295362509.98,3080640028.06,-214768000.51,26,10311,10530,319596.79,292558.41,-20395.82,126744711.92,118486154.93,-8260307.71
18,2005,2136584375.85,1936822371.49,-199780653.99,26,7949,8357,268786.56,231760.48,-23905.79,82176322.15,74493168.13,-7683871.31
